AbsenceID,AbsenceDate,StudentID,SISStudentID,AbsenceCodeID,AbsenceCount,FacilityID,StaffID
32155,'2008-12-14 00:00:00',1660,460,22,1,3,62
32156,'2007-09-01 00:00:00',880,880,1,1,1,12
32157,'2010-02-01 00:00:00',3416,1016,9,1,1,24
32158,'2008-05-04 00:00:00',428,428,21,1,3,51
32159,'2009-01-11 00:00:00',1360,160,21,1,3,60
32160,'2008-11-16 00:00:00',1536,336,9,1,1,10
32161,'2008-01-05 00:00:00',1012,1012,1,1,1,9
32162,'2007-11-01 00:00:00',460,460,1,1,3,59
32163,'2009-12-11 00:00:00',3400,1000,22,1,3,66
32164,'2009-11-30 00:00:00',3564,1164,1,1,2,7
32165,'2007-08-11 00:00:00',760,760,21,1,3,71
32166,'2009-09-28 00:00:00',2460,60,9,1,2,42
32167,'2010-02-13 00:00:00',3136,736,9,1,1,18
32168,'2009-01-16 00:00:00',2048,848,1,1,1,20
32169,'2010-02-21 00:00:00',3432,1032,1,1,1,9
32170,'2008-03-16 00:00:00',952,952,13,1,3,61
32171,'2009-05-10 00:00:00',1620,420,1,1,2,42
32172,'2009-09-05 00:00:00',2716,316,1,1,1,24
32173,'2009-09-27 00:00:00',3348,948,9,1,1,23
32174,'2008-11-21 00:00:00',1312,112,1,1,1,17
32175,'2009-03-07 00:00:00',1936,736,1,1,1,10
32176,'2010-03-11 00:00:00',2616,216,1,1,1,24
32177,'2009-03-22 00:00:00',1780,580,22,1,1,15
32178,'2010-02-27 00:00:00',2676,276,22,1,3,72
32179,'2007-10-12 00:00:00',48,48,22,1,1,14
32180,'2008-03-16 00:00:00',80,80,1,1,1,12
32181,'2009-01-16 00:00:00',1580,380,1,1,1,15
32182,'2009-04-27 00:00:00',2112,912,1,1,1,17
32183,'2008-01-19 00:00:00',848,848,1,1,1,14
32184,'2009-10-08 00:00:00',3060,660,21,1,2,42
32185,'2010-02-04 00:00:00',3164,764,1,1,2,7
32186,'2009-02-21 00:00:00',2016,816,9,1,1,20
32187,'2009-05-02 00:00:00',2312,1112,9,1,1,17
32188,'2008-11-15 00:00:00',1336,136,9,1,1,10
32189,'2009-05-01 00:00:00',2032,832,1,1,2,49
32190,'2007-11-30 00:00:00',160,160,22,1,3,57
32191,'2009-12-10 00:00:00',3236,836,1,1,1,18
32192,'2010-03-05 00:00:00',2404,4,21,1,3,71
32193,'2010-02-08 00:00:00',2436,36,9,1,1,18
32194,'2009-04-25 00:00:00',1448,248,9,1,1,20
32195,'2009-03-15 00:00:00',2112,912,1,1,1,17
32196,'2010-02-01 00:00:00',2536,136,1,1,1,18
32197,'2009-12-14 00:00:00',2848,448,1,1,1,23
32198,'2010-02-26 00:00:00',3104,704,9,1,3,58
32199,'2008-12-07 00:00:00',1560,360,21,1,3,67
32200,'2008-09-22 00:00:00',1860,660,13,1,3,60
