DisciplineID,StudentID,SISStudentID,EventFacilityID,DisciplineEventCodeID,EventDate,EventReportingStaffID,DisciplineActionCodeID,ActionDate,ActionStaffID,ResolutionDate
1,1,1,5,9,'2008-09-03 00:00:00',6,2,'2008-09-10 00:00:00',1,
2,1,1,5,76,'2008-09-10 00:00:00',6,4,'2008-09-17 00:00:00',1,
3,1,1,5,69,'2008-09-17 00:00:00',6,9,'2008-09-24 00:00:00',1,
4,1,1,5,80,'2008-09-24 00:00:00',6,18,'2008-10-01 00:00:00',1,
5,1,1,5,67,'2008-10-01 00:00:00',6,32,'2008-10-08 00:00:00',1,
6,1,1,5,52,'2008-10-08 00:00:00',6,35,'2008-10-15 00:00:00',1,
7,1,1,5,9,'2008-10-15 00:00:00',6,2,'2008-10-22 00:00:00',1,
8,1,1,5,76,'2008-10-22 00:00:00',6,4,'2008-10-29 00:00:00',1,
9,1,1,5,69,'2008-10-29 00:00:00',6,9,'2008-11-05 00:00:00',1,
10,11,11,2,80,'2008-11-05 00:00:00',6,18,'2008-11-12 00:00:00',1,
11,11,11,2,67,'2008-11-12 00:00:00',6,32,'2008-11-19 00:00:00',1,
12,21,21,5,52,'2008-11-19 00:00:00',6,35,'2008-11-26 00:00:00',1,
13,21,21,5,9,'2008-11-26 00:00:00',6,2,'2008-12-03 00:00:00',1,
14,31,31,2,76,'2008-12-03 00:00:00',6,4,'2008-12-10 00:00:00',1,
15,31,31,2,69,'2008-12-10 00:00:00',6,9,'2008-12-17 00:00:00',1,
16,31,31,2,80,'2008-12-17 00:00:00',6,18,'2008-12-24 00:00:00',1,
17,31,31,2,67,'2008-12-24 00:00:00',6,32,'2008-12-31 00:00:00',1,
18,31,31,2,52,'2008-12-31 00:00:00',6,35,'2009-01-07 00:00:00',1,
19,31,31,2,9,'2009-01-07 00:00:00',6,2,'2009-01-14 00:00:00',1,
20,41,41,1,76,'2009-01-14 00:00:00',6,4,'2009-01-21 00:00:00',1,
21,41,41,1,69,'2009-01-21 00:00:00',6,9,'2009-01-28 00:00:00',1,
22,41,41,1,80,'2009-01-28 00:00:00',6,18,'2009-02-04 00:00:00',1,
23,41,41,1,67,'2009-02-04 00:00:00',6,32,'2009-02-11 00:00:00',1,
24,41,41,1,52,'2009-02-11 00:00:00',6,35,'2009-02-18 00:00:00',1,
25,41,41,1,9,'2009-02-18 00:00:00',6,2,'2009-02-25 00:00:00',1,
26,41,41,1,76,'2009-02-25 00:00:00',6,4,'2009-03-04 00:00:00',1,
27,41,41,1,69,'2009-03-04 00:00:00',6,9,'2009-03-11 00:00:00',1,
28,51,51,5,80,'2009-03-11 00:00:00',6,18,'2009-03-18 00:00:00',1,
29,61,61,5,67,'2009-03-18 00:00:00',6,32,'2009-03-25 00:00:00',1,
30,71,71,2,52,'2009-03-25 00:00:00',6,35,'2009-04-01 00:00:00',1,
31,71,71,2,9,'2009-04-01 00:00:00',6,2,'2009-04-08 00:00:00',1,
32,71,71,2,76,'2009-04-08 00:00:00',6,4,'2009-04-15 00:00:00',1,
33,71,71,2,69,'2009-04-15 00:00:00',6,9,'2009-04-22 00:00:00',1,
34,71,71,2,80,'2009-04-22 00:00:00',6,18,'2009-04-29 00:00:00',1,
35,81,81,1,67,'2009-04-29 00:00:00',6,32,'2009-05-06 00:00:00',1,
36,81,81,1,52,'2009-05-06 00:00:00',6,35,'2009-05-13 00:00:00',1,
37,81,81,1,9,'2009-05-13 00:00:00',6,2,'2009-05-20 00:00:00',1,
38,81,81,1,76,'2009-05-20 00:00:00',6,4,'2009-05-27 00:00:00',1,
39,81,81,1,69,'2009-05-27 00:00:00',6,9,'2009-06-03 00:00:00',1,
40,81,81,1,80,'2009-08-03 00:00:00',6,18,'2009-08-10 00:00:00',1,
41,81,81,1,67,'2009-08-10 00:00:00',6,32,'2009-08-17 00:00:00',1,
42,81,81,1,52,'2009-08-17 00:00:00',6,35,'2009-08-24 00:00:00',1,
43,81,81,1,9,'2009-08-24 00:00:00',6,2,'2009-08-31 00:00:00',1,
44,91,91,1,76,'2009-08-31 00:00:00',6,4,'2009-09-07 00:00:00',1,
45,91,91,1,69,'2009-09-07 00:00:00',6,9,'2009-09-14 00:00:00',1,
46,101,101,5,80,'2009-09-14 00:00:00',6,18,'2009-09-21 00:00:00',1,
47,101,101,5,67,'2009-09-21 00:00:00',6,32,'2009-09-28 00:00:00',1,
48,101,101,5,52,'2009-09-28 00:00:00',6,35,'2009-10-05 00:00:00',1,
49,101,101,5,9,'2009-10-05 00:00:00',6,2,'2009-10-12 00:00:00',1,
50,101,101,5,76,'2009-10-12 00:00:00',6,4,'2009-10-19 00:00:00',1,
51,101,101,5,69,'2009-10-19 00:00:00',6,9,'2009-10-26 00:00:00',1,
52,111,111,2,80,'2009-10-26 00:00:00',6,18,'2009-11-02 00:00:00',1,
53,111,111,2,67,'2009-11-02 00:00:00',6,32,'2009-11-09 00:00:00',1,
54,111,111,2,52,'2009-11-09 00:00:00',6,35,'2009-11-16 00:00:00',1,
55,111,111,2,9,'2009-11-16 00:00:00',6,2,'2009-11-23 00:00:00',1,
56,111,111,2,76,'2009-11-23 00:00:00',6,4,'2009-11-30 00:00:00',1,
57,111,111,2,69,'2009-11-30 00:00:00',6,9,'2009-12-07 00:00:00',1,
58,111,111,2,80,'2009-12-07 00:00:00',6,18,'2009-12-14 00:00:00',1,
59,111,111,2,67,'2009-12-14 00:00:00',6,32,'2009-12-21 00:00:00',1,
60,121,121,5,52,'2009-12-21 00:00:00',6,35,'2009-12-28 00:00:00',1,
61,121,121,5,9,'2009-12-28 00:00:00',6,2,'2010-01-04 00:00:00',1,
62,121,121,5,76,'2010-01-04 00:00:00',6,4,'2010-01-11 00:00:00',1,
63,131,131,2,69,'2008-09-03 00:00:00',6,9,'2008-09-10 00:00:00',1,
64,131,131,2,80,'2008-09-10 00:00:00',6,18,'2008-09-17 00:00:00',1,
65,141,141,1,67,'2008-09-17 00:00:00',6,32,'2008-09-24 00:00:00',1,
66,141,141,1,52,'2008-09-24 00:00:00',6,35,'2008-10-01 00:00:00',1,
67,141,141,1,9,'2008-10-01 00:00:00',6,2,'2008-10-08 00:00:00',1,
68,141,141,1,76,'2008-10-08 00:00:00',6,4,'2008-10-15 00:00:00',1,
69,141,141,1,69,'2008-10-15 00:00:00',6,9,'2008-10-22 00:00:00',1,
70,141,141,1,80,'2008-10-22 00:00:00',6,18,'2008-10-29 00:00:00',1,
71,151,151,5,67,'2008-10-29 00:00:00',6,32,'2008-11-05 00:00:00',1,
72,151,151,5,52,'2008-11-05 00:00:00',6,35,'2008-11-12 00:00:00',1,
73,151,151,5,9,'2008-11-12 00:00:00',6,2,'2008-11-19 00:00:00',1,
74,151,151,5,76,'2008-11-19 00:00:00',6,4,'2008-11-26 00:00:00',1,
75,151,151,5,69,'2008-11-26 00:00:00',6,9,'2008-12-03 00:00:00',1,
76,151,151,5,80,'2008-12-03 00:00:00',6,18,'2008-12-10 00:00:00',1,
77,151,151,5,67,'2008-12-10 00:00:00',6,32,'2008-12-17 00:00:00',1,
78,151,151,5,52,'2008-12-17 00:00:00',6,35,'2008-12-24 00:00:00',1,
79,161,161,5,9,'2008-12-24 00:00:00',6,2,'2008-12-31 00:00:00',1,
80,161,161,5,76,'2008-12-31 00:00:00',6,4,'2009-01-07 00:00:00',1,
81,161,161,5,69,'2009-01-07 00:00:00',6,9,'2009-01-14 00:00:00',1,
82,171,171,2,80,'2009-01-14 00:00:00',6,18,'2009-01-21 00:00:00',1,
83,181,181,1,67,'2009-01-21 00:00:00',6,32,'2009-01-28 00:00:00',1,
84,181,181,1,52,'2009-01-28 00:00:00',6,35,'2009-02-04 00:00:00',1,
85,181,181,1,9,'2009-02-04 00:00:00',6,2,'2009-02-11 00:00:00',1,
86,181,181,1,76,'2009-02-11 00:00:00',6,4,'2009-02-18 00:00:00',1,
87,181,181,1,69,'2009-02-18 00:00:00',6,9,'2009-02-25 00:00:00',1,
88,191,191,1,80,'2009-02-25 00:00:00',6,18,'2009-03-04 00:00:00',1,
89,191,191,1,67,'2009-03-04 00:00:00',6,32,'2009-03-11 00:00:00',1,
90,191,191,1,52,'2009-03-11 00:00:00',6,35,'2009-03-18 00:00:00',1,
91,191,191,1,9,'2009-03-18 00:00:00',6,2,'2009-03-25 00:00:00',1,
