HSGTDomainScoreID,HSGTScoreID,HSGTDomainID,DomainRawScore,PossibleDomainRawScore
9784,2405,1,1.00,24.00
9785,2405,2,6.00,21.00
9786,2405,3,0.00,0.00
9787,2406,4,4.00,14.00
9788,2406,5,4.00,14.00
9789,2406,6,12.00,16.00
9790,2406,7,7.00,11.00
9791,2406,8,5.00,13.00
9792,2406,9,6.00,12.00
9793,2407,10,13.00,18.00
9794,2407,11,11.00,17.00
9795,2407,12,13.00,20.00
9796,2407,13,17.00,18.00
9797,2407,14,12.00,13.00
9798,2408,15,6.00,12.00
9799,2408,16,10.00,14.00
9800,2408,17,15.00,21.00
9801,2408,18,16.00,18.00
9802,2409,10,13.00,18.00
9803,2409,11,9.00,17.00
9804,2409,12,9.00,20.00
9805,2409,13,8.00,18.00
9806,2409,14,7.00,13.00
9807,2410,4,6.00,14.00
9808,2410,5,6.00,14.00
9809,2410,6,8.00,16.00
9810,2410,7,6.00,11.00
9811,2410,8,6.00,13.00
9812,2410,9,7.00,12.00
9813,2411,1,9.00,24.00
9814,2411,2,1.00,21.00
9815,2411,3,0.00,0.00
9816,2412,15,7.00,12.00
9817,2412,16,8.00,14.00
9818,2412,17,4.00,21.00
9819,2412,18,13.00,18.00
9820,2413,4,7.00,14.00
9821,2413,5,13.00,14.00
9822,2413,6,10.00,16.00
9823,2413,7,5.00,11.00
9824,2413,8,9.00,13.00
9825,2413,9,10.00,12.00
9826,2414,10,16.00,18.00
9827,2414,11,10.00,17.00
9828,2414,12,15.00,20.00
9829,2414,13,14.00,18.00
9830,2414,14,8.00,13.00
9831,2415,1,14.00,24.00
9832,2415,2,9.00,21.00
9833,2415,3,0.00,0.00
9834,2416,15,7.00,12.00
9835,2416,16,7.00,14.00
9836,2416,17,15.00,21.00
9837,2416,18,16.00,18.00
9838,2417,10,4.00,18.00
9839,2417,11,12.00,17.00
9840,2417,12,6.00,20.00
9841,2417,13,6.00,18.00
9842,2417,14,7.00,13.00
9843,2418,15,4.00,12.00
9844,2418,16,2.00,14.00
9845,2418,17,3.00,21.00
9846,2418,18,4.00,18.00
9847,2419,4,11.00,14.00
9848,2419,5,11.00,14.00
9849,2419,6,9.00,16.00
9850,2419,7,8.00,11.00
9851,2419,8,8.00,13.00
9852,2419,9,6.00,12.00
9853,2420,1,12.00,24.00
9854,2420,2,16.00,21.00
9855,2420,3,0.00,0.00
9856,2421,10,6.00,18.00
9857,2421,11,1.00,17.00
9858,2421,12,8.00,20.00
9859,2421,13,5.00,18.00
9860,2421,14,3.00,13.00
9861,2422,10,8.00,18.00
9862,2422,11,3.00,17.00
9863,2422,12,3.00,20.00
9864,2422,13,2.00,18.00
9865,2422,14,1.00,13.00
9866,2423,10,8.00,18.00
9867,2423,11,2.00,17.00
9868,2423,12,3.00,20.00
9869,2423,13,4.00,18.00
9870,2423,14,5.00,13.00
9871,2424,4,6.00,14.00
9872,2424,5,3.00,14.00
9873,2424,6,6.00,16.00
9874,2424,7,3.00,11.00
9875,2424,8,1.00,13.00
9876,2424,9,2.00,12.00
9877,2425,15,3.00,12.00
9878,2425,16,4.00,14.00
9879,2425,17,6.00,21.00
9880,2425,18,5.00,18.00
9881,2426,1,11.00,24.00
9882,2426,2,3.00,21.00
9883,2426,3,0.00,0.00
9884,2427,10,7.00,18.00
9885,2427,11,7.00,17.00
9886,2427,12,8.00,20.00
9887,2427,13,4.00,18.00
9888,2427,14,9.00,13.00
9889,2428,15,5.00,12.00
9890,2428,16,7.00,14.00
9891,2428,17,10.00,21.00
9892,2428,18,12.00,18.00
9893,2429,1,15.00,24.00
9894,2429,2,4.00,21.00
9895,2429,3,0.00,0.00
9896,2430,4,12.00,14.00
9897,2430,5,12.00,14.00
9898,2430,6,14.00,16.00
9899,2430,7,9.00,11.00
9900,2430,8,10.00,13.00
9901,2430,9,9.00,12.00
9902,2431,10,7.00,18.00
9903,2431,11,7.00,17.00
9904,2431,12,8.00,20.00
9905,2431,13,5.00,18.00
9906,2431,14,4.00,13.00
9907,2432,4,7.00,14.00
9908,2432,5,7.00,14.00
9909,2432,6,8.00,16.00
9910,2432,7,6.00,11.00
9911,2432,8,7.00,13.00
9912,2432,9,5.00,12.00
9913,2433,15,4.00,12.00
9914,2433,16,4.00,14.00
9915,2433,17,5.00,21.00
9916,2433,18,5.00,18.00
9917,2434,1,4.00,24.00
9918,2434,2,15.00,21.00
9919,2434,3,0.00,0.00
9920,2435,10,5.00,18.00
9921,2435,11,6.00,17.00
9922,2435,12,7.00,20.00
9923,2435,13,7.00,18.00
9924,2435,14,5.00,13.00
9925,2436,10,3.00,18.00
9926,2436,11,2.00,17.00
9927,2436,12,2.00,20.00
9928,2436,13,2.00,18.00
9929,2436,14,2.00,13.00
9930,2437,10,6.00,18.00
9931,2437,11,7.00,17.00
9932,2437,12,9.00,20.00
9933,2437,13,3.00,18.00
9934,2437,14,1.00,13.00
9935,2438,15,5.00,12.00
9936,2438,16,5.00,14.00
9937,2438,17,8.00,21.00
9938,2438,18,2.00,18.00
9939,2439,4,6.00,14.00
9940,2439,5,6.00,14.00
9941,2439,6,3.00,16.00
9942,2439,7,1.00,11.00
9943,2439,8,3.00,13.00
9944,2439,9,2.00,12.00
9945,2440,1,1.00,24.00
9946,2440,2,9.00,21.00
9947,2440,3,0.00,0.00
9948,2441,1,5.00,24.00
9949,2441,2,4.00,21.00
9950,2441,3,0.00,0.00
9951,2442,4,9.00,14.00
9952,2442,5,9.00,14.00
9953,2442,6,9.00,16.00
9954,2442,7,6.00,11.00
9955,2442,8,9.00,13.00
9956,2442,9,8.00,12.00
9957,2443,10,10.00,18.00
9958,2443,11,12.00,17.00
9959,2443,12,13.00,20.00
9960,2443,13,12.00,18.00
9961,2443,14,8.00,13.00
9962,2444,15,8.00,12.00
9963,2444,16,12.00,14.00
9964,2444,17,18.00,21.00
9965,2444,18,14.00,18.00
9966,2445,10,4.00,18.00
9967,2445,11,11.00,17.00
9968,2445,12,14.00,20.00
9969,2445,13,12.00,18.00
9970,2445,14,7.00,13.00
9971,2446,4,10.00,14.00
9972,2446,5,9.00,14.00
9973,2446,6,5.00,16.00
9974,2446,7,4.00,11.00
9975,2446,8,5.00,13.00
9976,2446,9,4.00,12.00
9977,2447,1,7.00,24.00
9978,2447,2,4.00,21.00
9979,2447,3,0.00,0.00
9980,2448,15,7.00,12.00
9981,2448,16,8.00,14.00
9982,2448,17,12.00,21.00
9983,2448,18,14.00,18.00
9984,2449,4,10.00,14.00
9985,2449,5,9.00,14.00
9986,2449,6,10.00,16.00
9987,2449,7,6.00,11.00
9988,2449,8,8.00,13.00
9989,2449,9,10.00,12.00
9990,2450,10,9.00,18.00
9991,2450,11,15.00,17.00
9992,2450,12,18.00,20.00
9993,2450,13,16.00,18.00
9994,2450,14,7.00,13.00
9995,2451,1,5.00,24.00
9996,2451,2,5.00,21.00
9997,2451,3,0.00,0.00
9998,2452,15,8.00,12.00
9999,2452,16,10.00,14.00
10000,2452,17,18.00,21.00
10001,2452,18,16.00,18.00
10002,2453,10,10.00,18.00
10003,2453,11,13.00,17.00
10004,2453,12,16.00,20.00
10005,2453,13,13.00,18.00
10006,2453,14,8.00,13.00
10007,2454,15,1.00,12.00
10008,2454,16,2.00,14.00
10009,2454,17,5.00,21.00
10010,2454,18,5.00,18.00
10011,2455,4,9.00,14.00
10012,2455,5,9.00,14.00
10013,2455,6,11.00,16.00
10014,2455,7,7.00,11.00
10015,2455,8,8.00,13.00
10016,2455,9,10.00,12.00
10017,2456,1,16.00,24.00
10018,2456,2,12.00,21.00
10019,2456,3,0.00,0.00
10020,2457,10,8.00,18.00
10021,2457,11,3.00,17.00
10022,2457,12,2.00,20.00
10023,2457,13,4.00,18.00
10024,2457,14,3.00,13.00
10025,2458,10,3.00,18.00
10026,2458,11,3.00,17.00
10027,2458,12,9.00,20.00
10028,2458,13,2.00,18.00
10029,2458,14,1.00,13.00
10030,2459,10,5.00,18.00
10031,2459,11,4.00,17.00
10032,2459,12,5.00,20.00
10033,2459,13,5.00,18.00
10034,2459,14,2.00,13.00
10035,2460,4,5.00,14.00
10036,2460,5,4.00,14.00
10037,2460,6,5.00,16.00
10038,2460,7,4.00,11.00
10039,2460,8,2.00,13.00
10040,2460,9,2.00,12.00
10041,2461,15,1.00,12.00
10042,2461,16,3.00,14.00
10043,2461,17,3.00,21.00
10044,2461,18,3.00,18.00
10045,2462,1,8.00,24.00
10046,2462,2,7.00,21.00
10047,2462,3,0.00,0.00
10048,2463,10,4.00,18.00
10049,2463,11,4.00,17.00
10050,2463,12,4.00,20.00
10051,2463,13,13.00,18.00
10052,2463,14,9.00,13.00
10053,2464,15,5.00,12.00
10054,2464,16,5.00,14.00
10055,2464,17,7.00,21.00
10056,2464,18,4.00,18.00
10057,2465,1,5.00,24.00
10058,2465,2,10.00,21.00
10059,2465,3,0.00,0.00
10060,2466,4,11.00,14.00
10061,2466,5,11.00,14.00
10062,2466,6,13.00,16.00
10063,2466,7,10.00,11.00
10064,2466,8,12.00,13.00
10065,2466,9,7.00,12.00
10066,2467,10,9.00,18.00
10067,2467,11,7.00,17.00
10068,2467,12,8.00,20.00
10069,2467,13,12.00,18.00
10070,2467,14,7.00,13.00
10071,2468,4,6.00,14.00
10072,2468,5,6.00,14.00
10073,2468,6,6.00,16.00
10074,2468,7,4.00,11.00
10075,2468,8,5.00,13.00
10076,2468,9,5.00,12.00
10077,2469,15,4.00,12.00
10078,2469,16,4.00,14.00
10079,2469,17,7.00,21.00
10080,2469,18,6.00,18.00
10081,2470,1,11.00,24.00
10082,2470,2,9.00,21.00
10083,2470,3,0.00,0.00
10084,2471,10,8.00,18.00
10085,2471,11,6.00,17.00
10086,2471,12,8.00,20.00
10087,2471,13,2.00,18.00
10088,2471,14,1.00,13.00
10089,2472,10,3.00,18.00
10090,2472,11,3.00,17.00
10091,2472,12,4.00,20.00
10092,2472,13,3.00,18.00
