HSGTScoreID,StudentID,SISStudentID,TestDate,SubjectID,RawScore,PossibleRawScore,ScaledScore,PossibleScaledScore,PassFail,TimesTested,LatestTest
2405,1446,1446,'2010-03-01 00:00:00',9,7.00,45.00,525.00,600.00,,1,1
2406,1446,1446,'2010-03-01 00:00:00',15,38.00,80.00,528.00,600.00,,1,1
2407,1446,1446,'2010-03-01 00:00:00',14,66.00,86.00,531.00,600.00,,1,1
2408,1446,1446,'2010-03-01 00:00:00',10,47.00,65.00,559.00,600.00,,1,1
2409,1548,1548,'2010-03-01 00:00:00',14,46.00,86.00,512.00,600.00,,1,1
2410,1548,1548,'2010-03-01 00:00:00',15,39.00,80.00,518.00,600.00,,1,1
2411,1548,1548,'2010-03-01 00:00:00',9,10.00,45.00,530.00,600.00,,1,1
2412,1548,1548,'2010-03-01 00:00:00',10,32.00,65.00,530.00,600.00,,1,1
2413,2047,2047,'2010-03-01 00:00:00',15,54.00,80.00,536.00,600.00,,1,1
2414,2047,2047,'2010-03-01 00:00:00',14,63.00,86.00,538.00,600.00,,1,1
2415,2047,2047,'2010-03-01 00:00:00',9,23.00,45.00,547.00,600.00,,1,1
2416,2047,2047,'2010-03-01 00:00:00',10,45.00,65.00,549.00,600.00,,1,1
2417,2116,2116,'2010-03-01 00:00:00',14,35.00,86.00,515.00,600.00,,1,1
2418,2116,2116,'2010-03-01 00:00:00',10,13.00,65.00,521.00,600.00,,1,1
2419,2116,2116,'2010-03-01 00:00:00',15,53.00,80.00,530.00,600.00,,1,1
2420,2116,2116,'2010-03-01 00:00:00',9,28.00,45.00,543.00,600.00,,1,1
2421,2246,2246,'2010-03-01 00:00:00',14,23.00,86.00,486.00,600.00,,1,0
2422,2246,2246,'2010-07-01 00:00:00',14,17.00,86.00,495.00,600.00,,2,0
2423,2246,2246,'2010-09-01 00:00:00',14,22.00,86.00,496.00,600.00,,3,1
2424,2246,2246,'2010-03-01 00:00:00',15,21.00,80.00,502.00,600.00,,1,1
2425,2246,2246,'2010-03-01 00:00:00',10,18.00,65.00,516.00,600.00,,1,1
2426,2246,2246,'2010-03-01 00:00:00',9,14.00,45.00,520.00,600.00,,1,1
2427,2281,2281,'2010-03-01 00:00:00',14,35.00,86.00,508.00,600.00,,1,1
2428,2281,2281,'2010-03-01 00:00:00',10,34.00,65.00,546.00,600.00,,1,1
2429,2281,2281,'2010-03-01 00:00:00',9,19.00,45.00,547.00,600.00,,1,1
2430,2281,2281,'2010-03-01 00:00:00',15,66.00,80.00,553.00,600.00,,1,1
2431,2317,2317,'2010-03-01 00:00:00',14,31.00,86.00,517.00,600.00,,1,1
2432,2317,2317,'2010-03-01 00:00:00',15,40.00,80.00,520.00,600.00,,1,1
2433,2317,2317,'2010-03-01 00:00:00',10,18.00,65.00,536.00,600.00,,1,1
2434,2317,2317,'2010-03-01 00:00:00',9,19.00,45.00,552.00,600.00,,1,1
2435,2347,2347,'2010-07-01 00:00:00',14,30.00,86.00,477.00,600.00,,2,0
2436,2347,2347,'2010-03-01 00:00:00',14,11.00,86.00,490.00,600.00,,1,0
2437,2347,2347,'2010-09-01 00:00:00',14,26.00,86.00,497.00,600.00,,3,1
2438,2347,2347,'2010-03-01 00:00:00',10,20.00,65.00,510.00,600.00,,1,1
2439,2347,2347,'2010-03-01 00:00:00',15,21.00,80.00,516.00,600.00,,1,1
2440,2347,2347,'2010-03-01 00:00:00',9,10.00,45.00,525.00,600.00,,1,1
2441,2641,2641,'2010-03-01 00:00:00',9,9.00,45.00,525.00,600.00,,1,1
2442,2641,2641,'2010-03-01 00:00:00',15,50.00,80.00,528.00,600.00,,1,1
2443,2641,2641,'2010-03-01 00:00:00',14,55.00,86.00,531.00,600.00,,1,1
2444,2641,2641,'2010-03-01 00:00:00',10,52.00,65.00,559.00,600.00,,1,1
2445,2743,2743,'2010-03-01 00:00:00',14,48.00,86.00,512.00,600.00,,1,1
2446,2743,2743,'2010-03-01 00:00:00',15,37.00,80.00,518.00,600.00,,1,1
