SpecialProgramID,ProgramID,StudentID,SISStudentID,EntryDate
1,1,32,32,'2010-04-30 00:00:00'
2,1,132,132,'2010-04-30 00:00:00'
3,1,232,232,'2010-04-30 00:00:00'
4,1,332,332,'2010-04-30 00:00:00'
5,1,432,432,'2010-04-30 00:00:00'
6,1,532,532,'2010-04-30 00:00:00'
7,1,632,632,'2010-04-30 00:00:00'
8,1,732,732,'2010-04-30 00:00:00'
9,1,832,832,'2010-04-30 00:00:00'
10,1,932,932,'2010-04-30 00:00:00'
11,1,1032,1032,'2010-04-30 00:00:00'
12,1,1132,1132,'2010-04-30 00:00:00'
13,1,1232,32,'2010-04-30 00:00:00'
14,1,1332,132,'2010-04-30 00:00:00'
15,1,1432,232,'2010-04-30 00:00:00'
16,1,1532,332,'2010-04-30 00:00:00'
17,1,1632,432,'2010-04-30 00:00:00'
18,1,1732,532,'2010-04-30 00:00:00'
19,1,1832,632,'2010-04-30 00:00:00'
20,1,1932,732,'2010-04-30 00:00:00'
21,1,2032,832,'2010-04-30 00:00:00'
22,1,2132,932,'2010-04-30 00:00:00'
23,1,2232,1032,'2010-04-30 00:00:00'
24,1,2332,1132,'2010-04-30 00:00:00'
25,1,2432,32,'2010-04-30 00:00:00'
26,1,2532,132,'2010-04-30 00:00:00'
27,1,2632,232,'2010-04-30 00:00:00'
28,1,2732,332,'2010-04-30 00:00:00'
29,1,2832,432,'2010-04-30 00:00:00'
30,1,2932,532,'2010-04-30 00:00:00'
31,1,3032,632,'2010-04-30 00:00:00'
32,1,3132,732,'2010-04-30 00:00:00'
33,1,3232,832,'2010-04-30 00:00:00'
34,1,3332,932,'2010-04-30 00:00:00'
35,1,3432,1032,'2010-04-30 00:00:00'
36,1,3532,1132,'2010-04-30 00:00:00'
37,1,2,2,'2008-09-15 00:00:00'
38,1,102,102,'2008-09-15 00:00:00'
39,1,202,202,'2008-09-15 00:00:00'
40,1,302,302,'2008-09-15 00:00:00'
41,1,402,402,'2008-09-15 00:00:00'
42,1,502,502,'2008-09-15 00:00:00'
43,1,602,602,'2008-09-15 00:00:00'
44,1,702,702,'2008-09-15 00:00:00'
45,1,802,802,'2008-09-15 00:00:00'
46,1,902,902,'2008-09-15 00:00:00'
47,1,1002,1002,'2008-09-15 00:00:00'
48,1,1102,1102,'2008-09-15 00:00:00'
49,1,1202,2,'2008-09-15 00:00:00'
50,1,1302,102,'2008-09-15 00:00:00'
51,1,1402,202,'2008-09-15 00:00:00'
