StandardizedTestDomainScoreID,StandardizedTestScoreID,StandardizedTestDomainID,RawScore,PossibleRawScore
1,1,1,6.00,6.00
2,1,2,0.00,0.00
3,1,3,5.00,8.00
4,1,4,0.00,0.00
5,1,5,0.00,0.00
6,1,6,29.00,36.00
7,2,7,8.00,12.00
8,2,8,0.00,0.00
9,2,9,9.00,9.00
10,2,10,6.00,6.00
11,2,11,23.00,33.00
12,3,12,0.00,0.00
13,3,13,0.00,0.00
14,3,14,0.00,0.00
15,3,15,0.00,0.00
16,3,16,6.00,8.00
17,4,1,2.00,6.00
18,4,2,0.00,0.00
19,4,3,4.00,8.00
20,4,4,0.00,0.00
21,4,5,0.00,0.00
22,4,6,21.00,36.00
23,5,1,5.00,6.00
24,5,2,0.00,0.00
25,5,3,6.00,8.00
26,5,4,0.00,0.00
27,5,5,0.00,0.00
28,5,6,34.00,36.00
29,6,7,0.00,0.00
30,6,8,0.00,0.00
31,6,9,0.00,0.00
32,6,10,0.00,0.00
33,6,11,0.00,0.00
34,7,7,10.00,12.00
35,7,8,0.00,0.00
36,7,9,9.00,9.00
37,7,10,4.00,6.00
38,7,11,23.00,33.00
39,8,12,0.00,0.00
40,8,13,0.00,0.00
41,8,14,0.00,0.00
42,8,15,0.00,0.00
43,8,16,6.00,8.00
44,9,12,0.00,0.00
45,9,13,0.00,0.00
46,9,14,0.00,0.00
47,9,15,0.00,0.00
48,9,16,7.00,8.00
49,10,1,4.00,6.00
50,10,2,0.00,0.00
51,10,3,3.00,8.00
52,10,4,0.00,0.00
53,10,5,0.00,0.00
54,10,6,14.00,36.00
55,11,7,9.00,12.00
56,11,8,0.00,0.00
57,11,9,3.00,9.00
58,11,10,3.00,6.00
59,11,11,18.00,33.00
60,12,12,0.00,0.00
61,12,13,0.00,0.00
62,12,14,0.00,0.00
63,12,15,0.00,0.00
64,12,16,5.00,8.00
65,13,1,3.00,6.00
66,13,2,0.00,0.00
67,13,3,0.00,8.00
68,13,4,0.00,0.00
69,13,5,0.00,0.00
70,13,6,14.00,36.00
71,14,7,6.00,12.00
72,14,8,0.00,0.00
73,14,9,3.00,9.00
74,14,10,3.00,6.00
75,14,11,21.00,33.00
76,15,12,0.00,0.00
77,15,13,0.00,0.00
78,15,14,0.00,0.00
79,15,15,0.00,0.00
80,15,16,5.00,8.00
81,16,1,6.00,6.00
82,16,2,0.00,0.00
83,16,3,4.00,8.00
84,16,4,0.00,0.00
85,16,5,0.00,0.00
86,16,6,28.00,36.00
87,17,7,10.00,12.00
88,17,8,0.00,0.00
89,17,9,7.00,9.00
90,17,10,4.00,6.00
91,17,11,22.00,33.00
92,18,12,0.00,0.00
93,18,13,0.00,0.00
94,18,14,0.00,0.00
95,18,15,0.00,0.00
96,18,16,7.00,8.00
97,19,1,5.00,6.00
98,19,2,0.00,0.00
99,19,3,8.00,8.00
100,19,4,0.00,0.00
101,19,5,0.00,0.00
102,19,6,33.00,36.00
103,20,7,12.00,12.00
104,20,8,0.00,0.00
105,20,9,9.00,9.00
106,20,10,6.00,6.00
107,20,11,32.00,33.00
108,21,12,0.00,0.00
109,21,13,0.00,0.00
110,21,14,0.00,0.00
111,21,15,0.00,0.00
112,21,16,8.00,8.00
113,22,1,6.00,6.00
114,22,2,0.00,0.00
115,22,3,8.00,8.00
116,22,4,0.00,0.00
117,22,5,0.00,0.00
118,22,6,35.00,36.00
119,23,7,12.00,12.00
120,23,8,0.00,0.00
121,23,9,9.00,9.00
122,23,10,5.00,6.00
123,23,11,30.00,33.00
124,24,12,0.00,0.00
125,24,13,0.00,0.00
126,24,14,0.00,0.00
127,24,15,0.00,0.00
128,24,16,8.00,8.00
129,25,1,4.00,6.00
130,25,2,0.00,0.00
131,25,3,5.00,8.00
132,25,4,0.00,0.00
133,25,5,0.00,0.00
134,25,6,32.00,36.00
135,26,7,9.00,12.00
136,26,8,0.00,0.00
137,26,9,2.00,9.00
138,26,10,6.00,6.00
139,26,11,26.00,33.00
140,27,12,0.00,0.00
141,27,13,0.00,0.00
142,27,14,0.00,0.00
143,27,15,0.00,0.00
144,27,16,8.00,8.00
145,28,1,5.00,6.00
146,28,2,0.00,0.00
147,28,3,8.00,8.00
148,28,4,0.00,0.00
149,28,5,0.00,0.00
150,28,6,29.00,36.00
151,29,7,7.00,12.00
152,29,8,0.00,0.00
153,29,9,6.00,9.00
154,29,10,5.00,6.00
155,29,11,23.00,33.00
156,30,12,0.00,0.00
157,30,13,0.00,0.00
158,30,14,0.00,0.00
159,30,15,0.00,0.00
160,30,16,8.00,8.00
161,31,1,5.00,6.00
162,31,2,0.00,0.00
163,31,3,5.00,8.00
164,31,4,0.00,0.00
165,31,5,0.00,0.00
166,31,6,23.00,36.00
167,32,7,5.00,12.00
168,32,8,0.00,0.00
169,32,9,6.00,9.00
170,32,10,5.00,6.00
171,32,11,25.00,33.00
172,33,12,0.00,0.00
173,33,13,0.00,0.00
174,33,14,0.00,0.00
175,33,15,0.00,0.00
176,33,16,6.00,8.00
177,34,1,2.00,6.00
178,34,2,0.00,0.00
179,34,3,7.00,8.00
180,34,4,0.00,0.00
181,34,5,0.00,0.00
182,34,6,23.00,36.00
183,35,7,7.00,12.00
184,35,8,0.00,0.00
185,35,9,6.00,9.00
186,35,10,6.00,6.00
187,35,11,24.00,33.00
188,36,12,0.00,0.00
189,36,13,0.00,0.00
190,36,14,0.00,0.00
191,36,15,0.00,0.00
192,36,16,7.00,8.00
193,37,1,4.00,6.00
194,37,2,0.00,0.00
195,37,3,5.00,8.00
196,37,4,0.00,0.00
197,37,5,0.00,0.00
198,37,6,26.00,36.00
199,38,7,10.00,12.00
200,38,8,0.00,0.00
201,38,9,8.00,9.00
