StandardizedTestScoreID,StudentID,SISStudentID,TestDate,SubjectID,RawScore,PossibleRawScore,ScaledScore,PossibleScaledScore,PerformanceLevel,Lexile,LatestTest
1,4,4,'2010-04-02 00:00:00',6,40.00,50.00,825.00,950.00,2.00,  BR,1
2,4,4,'2010-04-02 00:00:00',10,46.00,60.00,827.00,950.00,2.00,  BR,1
3,4,4,'2010-04-02 00:00:00',18,6.00,8.00,821.00,950.00,2.00,  BR,1
4,5,5,'2009-01-01 00:00:00',6,27.00,50.00,798.00,950.00,1.00,   BR,0
5,5,5,'2010-04-02 00:00:00',6,45.00,50.00,843.00,950.00,2.00,  20L,1
6,5,5,'2009-01-01 00:00:00',10,0.00,0.00,315.00,950.00,2.00,   BR,0
7,5,5,'2010-04-02 00:00:00',10,46.00,60.00,827.00,950.00,2.00,  20L,1
8,5,5,'2010-04-02 00:00:00',18,6.00,8.00,828.00,950.00,2.00,  20L,0
9,5,5,'2009-01-01 00:00:00',18,7.00,8.00,805.00,950.00,2.00,   BR,1
10,28,28,'2010-04-02 00:00:00',6,21.00,50.00,786.00,950.00,1.00,  BR,1
11,28,28,'2010-04-02 00:00:00',10,33.00,60.00,798.00,950.00,1.00,  BR,1
12,28,28,'2010-04-02 00:00:00',18,5.00,8.00,792.00,950.00,1.00,  BR,1
13,57,57,'2010-04-02 00:00:00',6,17.00,50.00,778.00,950.00,1.00,  BR,1
14,57,57,'2010-04-02 00:00:00',10,33.00,60.00,798.00,950.00,1.00,  BR,1
15,57,57,'2010-04-02 00:00:00',18,5.00,8.00,804.00,950.00,2.00,  BR,1
16,58,58,'2010-04-02 00:00:00',6,38.00,50.00,820.00,950.00,2.00, 130L,1
17,58,58,'2010-04-02 00:00:00',10,43.00,60.00,819.00,950.00,2.00, 130L,1
18,58,58,'2010-04-02 00:00:00',18,7.00,8.00,841.00,950.00,2.00, 130L,1
19,75,75,'2010-04-02 00:00:00',6,46.00,50.00,850.00,950.00,3.00, 455L,1
20,75,75,'2010-04-02 00:00:00',10,59.00,60.00,903.00,950.00,3.00, 455L,1
21,75,75,'2010-04-02 00:00:00',18,8.00,8.00,879.00,950.00,3.00, 455L,1
22,86,86,'2010-04-02 00:00:00',6,49.00,50.00,879.00,950.00,3.00, 455L,1
23,86,86,'2010-04-02 00:00:00',10,56.00,60.00,866.00,950.00,3.00, 455L,1
24,86,86,'2010-04-02 00:00:00',18,8.00,8.00,879.00,950.00,3.00, 455L,1
25,87,87,'2010-04-02 00:00:00',6,41.00,50.00,828.00,950.00,2.00,  BR,1
26,87,87,'2010-04-02 00:00:00',10,43.00,60.00,819.00,950.00,2.00,  BR,1
27,87,87,'2010-04-02 00:00:00',18,8.00,8.00,824.00,950.00,2.00,  BR,1
28,88,88,'2010-04-02 00:00:00',6,42.00,50.00,831.00,950.00,2.00,  BR,1
29,88,88,'2010-04-02 00:00:00',10,41.00,60.00,815.00,950.00,2.00,  BR,1
30,88,88,'2010-04-02 00:00:00',18,8.00,8.00,821.00,950.00,2.00,  BR,1
31,100,100,'2010-04-02 00:00:00',6,33.00,50.00,809.00,950.00,2.00,  20L,1
32,100,100,'2010-04-02 00:00:00',10,41.00,60.00,815.00,950.00,2.00,  20L,1
33,100,100,'2010-04-02 00:00:00',18,6.00,8.00,828.00,950.00,2.00,  20L,1
34,104,104,'2010-04-02 00:00:00',6,32.00,50.00,807.00,950.00,2.00,  55L,1
35,104,104,'2010-04-02 00:00:00',10,43.00,60.00,819.00,950.00,2.00,  55L,1
36,104,104,'2010-04-02 00:00:00',18,7.00,8.00,832.00,950.00,2.00,  55L,1
37,105,105,'2010-04-02 00:00:00',6,35.00,50.00,813.00,950.00,2.00,  BR,1
38,105,105,'2010-04-02 00:00:00',10,50.00,60.00,839.00,950.00,2.00,  BR,1
39,105,105,'2010-04-02 00:00:00',18,6.00,8.00,824.00,950.00,2.00,  BR,1
40,128,128,'2010-04-02 00:00:00',6,28.00,50.00,800.00,950.00,2.00,  20L,1
41,128,128,'2010-04-02 00:00:00',10,39.00,60.00,810.00,950.00,2.00,  20L,1
42,128,128,'2010-04-02 00:00:00',18,6.00,8.00,828.00,950.00,2.00,  20L,1
43,157,157,'2010-04-02 00:00:00',6,42.00,50.00,831.00,950.00,2.00, 320L,1
44,157,157,'2010-04-02 00:00:00',10,57.00,60.00,874.00,950.00,3.00, 320L,1
45,157,157,'2010-04-02 00:00:00',18,8.00,8.00,863.00,950.00,3.00, 320L,1
46,158,158,'2010-04-02 00:00:00',6,25.00,50.00,794.00,950.00,1.00,  BR,1
47,158,158,'2010-04-02 00:00:00',10,41.00,60.00,815.00,950.00,2.00,  BR,1
48,158,158,'2010-04-02 00:00:00',18,5.00,8.00,809.00,950.00,2.00,  BR,1
49,175,175,'2010-04-02 00:00:00',6,34.00,50.00,811.00,950.00,2.00,  BR,1
50,175,175,'2010-04-02 00:00:00',10,44.00,60.00,822.00,950.00,2.00,  BR,1
51,175,175,'2010-04-02 00:00:00',18,5.00,8.00,812.00,950.00,2.00,  BR,1
52,186,186,'2010-04-02 00:00:00',6,44.00,50.00,839.00,950.00,2.00, 130L,1
53,186,186,'2010-04-02 00:00:00',10,52.00,60.00,846.00,950.00,2.00, 130L,1
54,186,186,'2010-04-02 00:00:00',18,6.00,8.00,841.00,950.00,2.00, 130L,1
55,187,187,'2010-04-02 00:00:00',6,45.00,50.00,843.00,950.00,2.00, 455L,1
56,187,187,'2010-04-02 00:00:00',10,57.00,60.00,874.00,950.00,3.00, 455L,1
57,187,187,'2010-04-02 00:00:00',18,8.00,8.00,879.00,950.00,3.00, 455L,1
58,188,188,'2010-04-02 00:00:00',6,37.00,50.00,818.00,950.00,2.00, 320L,1
59,188,188,'2010-04-02 00:00:00',10,52.00,60.00,846.00,950.00,2.00, 320L,1
60,188,188,'2010-04-02 00:00:00',18,7.00,8.00,863.00,950.00,3.00, 320L,1
61,200,200,'2010-04-02 00:00:00',6,33.00,50.00,809.00,950.00,2.00,  20L,1
62,200,200,'2010-04-02 00:00:00',10,43.00,60.00,819.00,950.00,2.00,  20L,1
63,200,200,'2010-04-02 00:00:00',18,6.00,8.00,828.00,950.00,2.00,  20L,1
64,205,205,'2010-04-02 00:00:00',6,43.00,50.00,835.00,950.00,2.00, 130L,1
65,205,205,'2010-04-02 00:00:00',10,50.00,60.00,839.00,950.00,2.00, 130L,1
66,205,205,'2010-04-02 00:00:00',18,6.00,8.00,841.00,950.00,2.00, 130L,1
67,228,228,'2010-04-02 00:00:00',6,36.00,50.00,815.00,950.00,2.00,  85L,1
68,228,228,'2010-04-02 00:00:00',10,39.00,60.00,810.00,950.00,2.00,  85L,1
69,228,228,'2010-04-02 00:00:00',18,7.00,8.00,836.00,950.00,2.00,  85L,1
70,258,258,'2010-04-02 00:00:00',6,44.00,50.00,839.00,950.00,2.00,  85L,1
71,258,258,'2010-04-02 00:00:00',10,53.00,60.00,850.00,950.00,3.00,  85L,1
72,258,258,'2010-04-02 00:00:00',18,8.00,8.00,836.00,950.00,2.00,  85L,1
73,286,286,'2010-04-02 00:00:00',6,46.00,50.00,850.00,950.00,3.00,  85L,1
74,286,286,'2010-04-02 00:00:00',10,50.00,60.00,839.00,950.00,2.00,  85L,1
75,286,286,'2010-04-02 00:00:00',18,5.00,8.00,836.00,950.00,2.00,  85L,1
76,287,287,'2010-04-02 00:00:00',6,33.00,50.00,809.00,950.00,2.00,  BR,1
77,287,287,'2010-04-02 00:00:00',10,49.00,60.00,835.00,950.00,2.00,  BR,1
78,287,287,'2010-04-02 00:00:00',18,7.00,8.00,821.00,950.00,2.00,  BR,1
79,288,288,'2010-04-02 00:00:00',6,48.00,50.00,864.00,950.00,3.00, 240L,1
80,288,288,'2010-04-02 00:00:00',10,52.00,60.00,846.00,950.00,2.00, 240L,1
81,288,288,'2010-04-02 00:00:00',18,7.00,8.00,854.00,950.00,3.00, 240L,1
82,300,300,'2010-04-02 00:00:00',6,41.00,50.00,828.00,950.00,2.00,  55L,1
83,300,300,'2010-04-02 00:00:00',10,43.00,60.00,819.00,950.00,2.00,  55L,1
84,300,300,'2010-04-02 00:00:00',18,6.00,8.00,832.00,950.00,2.00,  55L,1
85,304,304,'2010-04-02 00:00:00',6,38.00,50.00,820.00,950.00,2.00,  BR,1
86,304,304,'2010-04-02 00:00:00',10,41.00,60.00,815.00,950.00,2.00,  BR,1
87,304,304,'2010-04-02 00:00:00',18,6.00,8.00,818.00,950.00,2.00,  BR,1
88,305,305,'2010-04-02 00:00:00',6,34.00,50.00,811.00,950.00,2.00,  BR,1
89,305,305,'2010-04-02 00:00:00',10,40.00,60.00,812.00,950.00,2.00,  BR,1
90,305,305,'2010-04-02 00:00:00',18,6.00,8.00,815.00,950.00,2.00,  BR,1
91,328,328,'2010-04-02 00:00:00',6,44.00,50.00,839.00,950.00,2.00, 130L,1
92,328,328,'2010-04-02 00:00:00',10,46.00,60.00,827.00,950.00,2.00, 130L,1
93,328,328,'2010-04-02 00:00:00',18,7.00,8.00,841.00,950.00,2.00, 130L,1
94,357,357,'2010-04-02 00:00:00',6,46.00,50.00,850.00,950.00,3.00, 320L,1
95,357,357,'2010-04-02 00:00:00',10,50.00,60.00,839.00,950.00,2.00, 320L,1
