StudentCourseID,StudentID,SISStudentID,CourseID,StaffID,FacilityID,PeriodID,CourseDate,EnrollmentDate,EnrollmentCodeID,WithdrawalDate,WithdrawalCodeID,GradeLevel
116553,12,12,2473,25,1,1,'2009-08-20 00:00:00','2007-07-01 00:00:00',1,'2008-06-30 00:00:00',1,09
116554,12,12,2496,13,1,1,'2009-08-20 00:00:00','2007-07-01 00:00:00',1,'2008-06-30 00:00:00',1,09
116555,12,12,2481,22,1,1,'2009-08-20 00:00:00','2007-07-01 00:00:00',1,'2008-06-30 00:00:00',1,09
116556,12,12,2497,25,1,1,'2009-08-20 00:00:00','2007-07-01 00:00:00',1,'2008-06-30 00:00:00',1,09
116557,12,12,2484,20,1,1,'2009-08-20 00:00:00','2007-07-01 00:00:00',1,'2008-06-30 00:00:00',1,09
116558,12,12,2474,17,1,1,'2009-08-20 00:00:00','2007-07-01 00:00:00',1,'2008-06-30 00:00:00',1,09
116559,14,14,2553,17,1,1,'2009-08-20 00:00:00','2007-07-01 00:00:00',1,'2008-06-30 00:00:00',1,09
116560,14,14,2502,25,1,1,'2009-08-20 00:00:00','2007-07-01 00:00:00',1,'2008-06-30 00:00:00',1,09
116561,14,14,2477,9,1,1,'2009-08-20 00:00:00','2007-07-01 00:00:00',1,'2008-06-30 00:00:00',1,09
116562,14,14,2504,32,1,1,'2009-08-20 00:00:00','2007-07-01 00:00:00',1,'2008-06-30 00:00:00',1,09
116563,14,14,2831,18,1,1,'2009-08-20 00:00:00','2007-07-01 00:00:00',1,'2008-06-30 00:00:00',1,09
116564,14,14,2513,11,1,1,'2009-08-20 00:00:00','2007-07-01 00:00:00',1,'2008-06-30 00:00:00',1,09
116565,14,14,2527,9,1,1,'2009-08-20 00:00:00','2007-07-01 00:00:00',1,'2008-06-30 00:00:00',1,09
116566,41,41,2482,13,1,1,'2009-08-20 00:00:00','2007-07-01 00:00:00',1,'2008-06-30 00:00:00',1,09
116567,41,41,2477,9,1,1,'2009-08-20 00:00:00','2007-07-01 00:00:00',1,'2008-06-30 00:00:00',1,09
116568,41,41,2523,29,1,1,'2009-08-20 00:00:00','2007-07-01 00:00:00',1,'2008-06-30 00:00:00',1,09
116569,41,41,2832,33,1,1,'2009-08-20 00:00:00','2007-07-01 00:00:00',1,'2008-06-30 00:00:00',1,09
116570,41,41,2551,22,1,1,'2009-08-20 00:00:00','2007-07-01 00:00:00',1,'2008-06-30 00:00:00',1,09
116571,41,41,2833,25,1,1,'2009-08-20 00:00:00','2007-07-01 00:00:00',1,'2008-06-30 00:00:00',1,09
116572,41,41,2831,18,1,1,'2009-08-20 00:00:00','2007-07-01 00:00:00',1,'2008-06-30 00:00:00',1,09
116573,42,42,2834,34,1,1,'2009-08-20 00:00:00','2007-07-01 00:00:00',1,'2008-06-30 00:00:00',1,09
116574,42,42,2835,17,1,1,'2009-08-20 00:00:00','2007-07-01 00:00:00',1,'2008-06-30 00:00:00',1,09
116575,42,42,2836,17,1,1,'2009-08-20 00:00:00','2007-07-01 00:00:00',1,'2008-06-30 00:00:00',1,09
116576,42,42,2531,38,1,1,'2009-08-20 00:00:00','2007-07-01 00:00:00',1,'2008-06-30 00:00:00',1,09
116577,42,42,2837,25,1,1,'2009-08-20 00:00:00','2007-07-01 00:00:00',1,'2008-06-30 00:00:00',1,09
116578,42,42,2479,13,1,1,'2009-08-20 00:00:00','2007-07-01 00:00:00',1,'2008-06-30 00:00:00',1,09
