StudentCourseGradeID,StudentCourseID,GradeTypeID,CreditAttempted,CreditGiven,NumericGrade,AlphaGrade,AlphaNumericGrade
1,116553,3,,,71.00,C,2.00
2,116553,4,,,68.00,D,1.00
3,116553,5,,,71.00,C,2.00
4,116553,8,,,74.00,C,2.00
5,116553,10,,,76.00,C,2.00
6,116553,11,,,77.00,C,2.00
7,116554,3,,,83.00,B,3.00
8,116554,4,,,80.00,B,3.00
9,116554,5,,,83.00,B,3.00
10,116554,8,,,86.00,B,3.00
11,116554,10,,,88.00,B,3.00
12,116554,11,,,89.00,B,3.00
13,116555,3,,,54.00,F,0.00
14,116555,4,,,51.00,F,0.00
15,116555,5,,,54.00,F,0.00
16,116555,8,,,57.00,F,0.00
17,116555,10,,,59.00,F,0.00
18,116555,11,,,60.00,D,1.00
19,116556,3,,,78.00,C,2.00
20,116556,4,,,75.00,C,2.00
21,116556,5,,,78.00,C,2.00
22,116556,8,,,81.00,B,3.00
23,116556,10,,,83.00,B,3.00
24,116556,11,,,84.00,B,3.00
25,116557,3,,,84.00,B,3.00
26,116557,4,,,81.00,B,3.00
27,116557,5,,,84.00,B,3.00
28,116557,8,,,87.00,B,3.00
29,116557,10,,,89.00,B,3.00
30,116557,11,,,90.00,A,4.00
31,116558,3,,,0.00,F,0.00
32,116558,4,,,0.00,F,0.00
33,116558,5,,,0.00,F,0.00
34,116558,8,,,3.00,F,0.00
35,116558,10,,,5.00,F,0.00
36,116558,11,,,6.00,F,0.00
37,116559,3,,,77.00,C,2.00
38,116559,4,,,74.00,C,2.00
39,116559,5,,,77.00,C,2.00
40,116559,8,,,80.00,B,3.00
41,116559,10,,,82.00,B,3.00
42,116559,11,,,83.00,B,3.00
43,116560,3,,,69.00,D,1.00
44,116560,4,,,66.00,D,1.00
45,116560,5,,,69.00,D,1.00
46,116560,8,,,72.00,C,2.00
47,116560,10,,,74.00,C,2.00
48,116560,11,,,75.00,C,2.00
49,116561,3,,,0.00,F,0.00
50,116561,4,,,0.00,F,0.00
51,116561,5,,,0.00,F,0.00
52,116561,8,,,3.00,F,0.00
53,116561,10,,,5.00,F,0.00
54,116561,11,,,6.00,F,0.00
55,116562,3,,,60.00,D,1.00
56,116562,4,,,57.00,F,0.00
57,116562,5,,,60.00,D,1.00
58,116562,8,,,63.00,D,1.00
59,116562,10,,,65.00,D,1.00
60,116562,11,,,66.00,D,1.00
61,116563,3,,,50.00,F,0.00
62,116563,4,,,47.00,F,0.00
63,116563,5,,,50.00,F,0.00
64,116563,8,,,53.00,F,0.00
65,116563,10,,,55.00,F,0.00
66,116563,11,,,56.00,F,0.00
67,116564,3,,,88.00,B,3.00
68,116564,4,,,85.00,B,3.00
69,116564,5,,,88.00,B,3.00
70,116564,8,,,91.00,A,4.00
71,116564,10,,,93.00,A,4.00
72,116564,11,,,94.00,A,4.00
73,116565,3,,,77.00,C,2.00
74,116565,4,,,74.00,C,2.00
75,116565,5,,,77.00,C,2.00
76,116565,8,,,80.00,B,3.00
77,116565,10,,,82.00,B,3.00
78,116565,11,,,83.00,B,3.00
79,116566,3,,,87.00,B,3.00
80,116566,4,,,84.00,B,3.00
81,116566,5,,,87.00,B,3.00
82,116566,8,,,90.00,A,4.00
83,116566,10,,,92.00,A,4.00
84,116566,11,,,93.00,A,4.00
85,116567,3,,,0.00,F,0.00
86,116567,4,,,0.00,F,0.00
87,116567,5,,,0.00,F,0.00
88,116567,8,,,3.00,F,0.00
89,116567,10,,,5.00,F,0.00
90,116567,11,,,6.00,F,0.00
91,116568,3,,,93.00,A,4.00
92,116568,4,,,90.00,A,4.00
93,116568,5,,,93.00,A,4.00
94,116568,8,,,96.00,A,4.00
95,116568,10,,,98.00,A,4.00
96,116568,11,,,99.00,A,4.00
97,116569,3,,,88.00,B,3.00
98,116569,4,,,85.00,B,3.00
99,116569,5,,,88.00,B,3.00
100,116569,8,,,91.00,A,4.00
101,116569,10,,,93.00,A,4.00
102,116569,11,,,94.00,A,4.00
103,116570,3,,,94.00,A,4.00
104,116570,4,,,91.00,A,4.00
105,116570,5,,,94.00,A,4.00
106,116570,8,,,97.00,A,4.00
107,116570,10,,,99.00,A,4.00
108,116570,11,,,100.00,A,4.00
109,116571,3,,,95.00,A,4.00
110,116571,4,,,92.00,A,4.00
111,116571,5,,,95.00,A,4.00
112,116571,8,,,98.00,A,4.00
113,116571,10,,,100.00,A,4.00
114,116571,11,,,100.00,A,4.00
115,116572,3,,,88.00,B,3.00
116,116572,4,,,85.00,B,3.00
117,116572,5,,,88.00,B,3.00
118,116572,8,,,91.00,A,4.00
119,116572,10,,,93.00,A,4.00
120,116572,11,,,94.00,A,4.00
121,116573,3,,,81.00,B,3.00
122,116573,4,,,78.00,C,2.00
123,116573,5,,,81.00,B,3.00
124,116573,8,,,84.00,B,3.00
125,116573,10,,,86.00,B,3.00
126,116573,11,,,87.00,B,3.00
127,116574,3,,,92.00,A,4.00
128,116574,4,,,89.00,B,3.00
129,116574,5,,,92.00,A,4.00
130,116574,8,,,95.00,A,4.00
131,116574,10,,,97.00,A,4.00
132,116574,11,,,98.00,A,4.00
133,116575,3,,,92.00,A,4.00
134,116575,4,,,89.00,B,3.00
135,116575,5,,,92.00,A,4.00
136,116575,8,,,95.00,A,4.00
137,116575,10,,,97.00,A,4.00
138,116575,11,,,98.00,A,4.00
139,116576,3,,,96.00,A,4.00
140,116576,4,,,93.00,A,4.00
141,116576,5,,,96.00,A,4.00
142,116576,8,,,99.00,A,4.00
143,116576,10,,,100.00,A,4.00
144,116576,11,,,100.00,A,4.00
145,116577,3,,,94.00,A,4.00
146,116577,4,,,91.00,A,4.00
147,116577,5,,,94.00,A,4.00
148,116577,8,,,97.00,A,4.00
149,116577,10,,,99.00,A,4.00
150,116577,11,,,100.00,A,4.00
151,116578,3,,,95.00,A,4.00
152,116578,4,,,92.00,A,4.00
153,116578,5,,,95.00,A,4.00
154,116578,8,,,98.00,A,4.00
155,116578,10,,,100.00,A,4.00
156,116578,11,,,100.00,A,4.00
157,116579,3,,,97.00,A,4.00
158,116579,4,,,94.00,A,4.00
159,116579,5,,,97.00,A,4.00
160,116579,8,,,100.00,A,4.00
161,116579,10,,,100.00,A,4.00
162,116579,11,,,100.00,A,4.00
163,116580,3,,,94.00,A,4.00
164,116580,4,,,91.00,A,4.00
165,116580,5,,,94.00,A,4.00
166,116580,8,,,97.00,A,4.00
167,116580,10,,,99.00,A,4.00
168,116580,11,,,100.00,A,4.00
169,116581,3,,,99.00,A,4.00
170,116581,4,,,96.00,A,4.00
171,116581,5,,,99.00,A,4.00
172,116581,8,,,100.00,A,4.00
173,116581,10,,,100.00,A,4.00
174,116581,11,,,100.00,A,4.00
175,116582,3,,,89.00,B,3.00
176,116582,4,,,86.00,B,3.00
177,116582,5,,,89.00,B,3.00
178,116582,8,,,92.00,A,4.00
179,116582,10,,,94.00,A,4.00
180,116582,11,,,95.00,A,4.00
181,116583,3,,,85.00,B,3.00
182,116583,4,,,82.00,B,3.00
183,116583,5,,,85.00,B,3.00
184,116583,8,,,88.00,B,3.00
185,116583,10,,,90.00,A,4.00
186,116583,11,,,91.00,A,4.00
187,116584,3,,,87.00,B,3.00
188,116584,4,,,84.00,B,3.00
189,116584,5,,,87.00,B,3.00
190,116584,8,,,90.00,A,4.00
191,116584,10,,,92.00,A,4.00
192,116584,11,,,93.00,A,4.00
193,116585,3,,,81.00,B,3.00
194,116585,4,,,78.00,C,2.00
195,116585,5,,,81.00,B,3.00
196,116585,8,,,84.00,B,3.00
197,116585,10,,,86.00,B,3.00
198,116585,11,,,87.00,B,3.00
199,116586,3,,,84.00,B,3.00
200,116586,4,,,81.00,B,3.00
201,116586,5,,,84.00,B,3.00
202,116586,8,,,87.00,B,3.00
203,116586,10,,,89.00,B,3.00
204,116586,11,,,90.00,A,4.00
205,116587,3,,,0.00,F,0.00
206,116587,4,,,0.00,F,0.00
207,116587,5,,,0.00,F,0.00
208,116587,8,,,3.00,F,0.00
209,116587,10,,,5.00,F,0.00
210,116587,11,,,6.00,F,0.00
211,116588,3,,,79.00,C,2.00
212,116588,4,,,76.00,C,2.00
213,116588,5,,,79.00,C,2.00
214,116588,8,,,82.00,B,3.00
215,116588,10,,,84.00,B,3.00
216,116588,11,,,85.00,B,3.00
217,116589,3,,,85.00,B,3.00
218,116589,4,,,82.00,B,3.00
219,116589,5,,,85.00,B,3.00
220,116589,8,,,88.00,B,3.00
221,116589,10,,,90.00,A,4.00
222,116589,11,,,91.00,A,4.00
223,116590,3,,,59.00,F,0.00
224,116590,4,,,56.00,F,0.00
225,116590,5,,,59.00,F,0.00
226,116590,8,,,62.00,D,1.00
227,116590,10,,,64.00,D,1.00
228,116590,11,,,65.00,D,1.00
229,116591,3,,,92.00,A,4.00
230,116591,4,,,89.00,B,3.00
231,116591,5,,,92.00,A,4.00
232,116591,8,,,95.00,A,4.00
233,116591,10,,,97.00,A,4.00
234,116591,11,,,98.00,A,4.00
235,116592,3,,,91.00,A,4.00
236,116592,4,,,88.00,B,3.00
237,116592,5,,,91.00,A,4.00
238,116592,8,,,94.00,A,4.00
239,116592,10,,,96.00,A,4.00
240,116592,11,,,97.00,A,4.00
241,116593,3,,,98.00,A,4.00
242,116593,4,,,95.00,A,4.00
243,116593,5,,,98.00,A,4.00
244,116593,8,,,100.00,A,4.00
245,116593,10,,,100.00,A,4.00
246,116593,11,,,100.00,A,4.00
247,116594,3,,,99.00,A,4.00
248,116594,4,,,96.00,A,4.00
249,116594,5,,,99.00,A,4.00
250,116594,8,,,100.00,A,4.00
251,116594,10,,,100.00,A,4.00
252,116594,11,,,100.00,A,4.00
253,116595,3,,,98.00,A,4.00
254,116595,4,,,95.00,A,4.00
255,116595,5,,,98.00,A,4.00
256,116595,8,,,100.00,A,4.00
257,116595,10,,,100.00,A,4.00
258,116595,11,,,100.00,A,4.00
259,116596,3,,,95.00,A,4.00
260,116596,4,,,92.00,A,4.00
261,116596,5,,,95.00,A,4.00
262,116596,8,,,98.00,A,4.00
263,116596,10,,,100.00,A,4.00
264,116596,11,,,100.00,A,4.00
265,116597,3,,,98.00,A,4.00
266,116597,4,,,95.00,A,4.00
267,116597,5,,,98.00,A,4.00
268,116597,8,,,100.00,A,4.00
269,116597,10,,,100.00,A,4.00
270,116597,11,,,100.00,A,4.00
271,116598,3,,,58.00,F,0.00
272,116598,4,,,55.00,F,0.00
273,116598,5,,,58.00,F,0.00
274,116598,8,,,61.00,D,1.00
275,116598,10,,,63.00,D,1.00
276,116598,11,,,64.00,D,1.00
277,116599,3,,,70.00,C,2.00
278,116599,4,,,67.00,D,1.00
279,116599,5,,,70.00,C,2.00
280,116599,8,,,73.00,C,2.00
281,116599,10,,,75.00,C,2.00
282,116599,11,,,76.00,C,2.00
283,116600,3,,,60.00,D,1.00
284,116600,4,,,57.00,F,0.00
285,116600,5,,,60.00,D,1.00
286,116600,8,,,63.00,D,1.00
287,116600,10,,,65.00,D,1.00
288,116600,11,,,66.00,D,1.00
289,116601,3,,,0.00,F,0.00
290,116601,4,,,0.00,F,0.00
291,116601,5,,,0.00,F,0.00
292,116601,8,,,3.00,F,0.00
293,116601,10,,,5.00,F,0.00
294,116601,11,,,6.00,F,0.00
295,116602,3,,,80.00,B,3.00
296,116602,4,,,77.00,C,2.00
297,116602,5,,,80.00,B,3.00
298,116602,8,,,83.00,B,3.00
299,116602,10,,,85.00,B,3.00
300,116602,11,,,86.00,B,3.00
301,116603,3,,,72.00,C,2.00
302,116603,4,,,69.00,D,1.00
303,116603,5,,,72.00,C,2.00
304,116603,8,,,75.00,C,2.00
305,116603,10,,,77.00,C,2.00
306,116603,11,,,78.00,C,2.00
307,116604,3,,,88.00,B,3.00
308,116604,4,,,85.00,B,3.00
309,116604,5,,,88.00,B,3.00
310,116604,8,,,91.00,A,4.00
311,116604,10,,,93.00,A,4.00
312,116604,11,,,94.00,A,4.00
313,116605,3,,,37.00,F,0.00
314,116605,4,,,34.00,F,0.00
315,116605,5,,,37.00,F,0.00
316,116605,8,,,40.00,F,0.00
317,116605,10,,,42.00,F,0.00
318,116605,11,,,43.00,F,0.00
319,116606,3,,,67.00,D,1.00
320,116606,4,,,64.00,D,1.00
321,116606,5,,,67.00,D,1.00
322,116606,8,,,70.00,C,2.00
323,116606,10,,,72.00,C,2.00
324,116606,11,,,73.00,C,2.00
325,116607,3,,,67.00,D,1.00
326,116607,4,,,64.00,D,1.00
327,116607,5,,,67.00,D,1.00
328,116607,8,,,70.00,C,2.00
329,116607,10,,,72.00,C,2.00
330,116607,11,,,73.00,C,2.00
331,116608,3,,,92.00,A,4.00
332,116608,4,,,89.00,B,3.00
333,116608,5,,,92.00,A,4.00
334,116608,8,,,95.00,A,4.00
335,116608,10,,,97.00,A,4.00
336,116608,11,,,98.00,A,4.00
337,116609,3,,,67.00,D,1.00
338,116609,4,,,64.00,D,1.00
339,116609,5,,,67.00,D,1.00
340,116609,8,,,70.00,C,2.00
341,116609,10,,,72.00,C,2.00
342,116609,11,,,73.00,C,2.00
343,116610,3,,,0.00,F,0.00
344,116610,4,,,0.00,F,0.00
